participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0421,R_24dbpSKXvb28pX3,Nonsense,bull shit,,someone is speaking BS,,
A0423,R_1rpELc9gZmMC268,Nonsense,Bollocks,,"Everything you say is a load of bollocks, scomo!",,
A0424,R_3Q7eng9ayNg5BDP,Nonsense,Bullshit,,Jonno reckons he drank an entire slab last night. He's full of bullshit.,"Everywhere, all the time.",No
A0425,R_Y957Jvrlmra8ywF,Nonsense,Malarky,,cut the malarky,To describe (usually) young people and children doing silly things,
A0426,R_1M6EtRM9hD7khpZ,Nonsense,"bullshit, codswallop",,that's a load of codswallop,,
A0427,R_efgCbig6aQXETWp,Nonsense,rubbish,,what a load of rubbish,common use,
A0428,R_3nN0XXAmu6EnifM,Nonsense,bullshit,,Tha'ts bullshit,Casual conversation,
A0429,R_1EjwzgOT6vjTWah,Nonsense,garbage,,that opinion is garbage,The disagreeing with someone,
A0430,R_3nGJTUDGqHcktYZ,Nonsense,Bullshit,,That's Bullshit,everwhere,
A0431,R_BPcApwxDynx8X2p,Nonsense,Bullshit,,"Don't listen to them, it's all bullshit.",Frequently by all age groups in discussions about a range of issues.,"Sometimes, it's reduced to ""it"" as in ""he's full of it""."
A0432,R_0cg8dl31izw0eYh,Nonsense,Gammon,,That's gammon (when someone speaks nonsense),In the NT for the last 40 years,
A0434,R_8p18sKDYY6fLoKR,Nonsense,Twaddle,,That's a whole lot of twaddle.,My dad used the expression & I guess I continue it. He passed away in 1976.,"I guess it's the polite version of ""BS"""
A0435,R_3JKMstEn0yLifqU,Nonsense,Bullshit,,What a load of bullshit,,
A0436,R_1dji2guDG3lrU7G,Nonsense,Bull shit,,What he told us was bull shit,,
A0438,R_2rNEF5Cm7O9r3hv,Nonsense,Pig's arse,,Pig's arse!,,
A0439,R_3Eswy8hFbTWsNHa,Nonsense,Furphy,,That's a complete Furphy,Often from people in the country - less so in city,
A0441,R_3EKdeR04ys9JSGA,Nonsense,shit,,that's a load of shit,response to absolute rubbish when information non-factual or untrue,no
A0442,R_efyyipAhQ2BgssF,Nonsense,Bullshit,,He's full of bullshit,Very commonly used,No
A0443,R_D5J3sx9OlOTJtF7,Nonsense,bullshit,,bloke carrys on with a bit of bullshit,at work,
A0447,R_1NqSRKbHkKNUC1f,Nonsense,"Pull the other one, its got bells on it",,As above,Bmx bandits movie,
A0448,R_29gZp6WyKH4wXdo,Nonsense,blarney,,,,
A0451,R_1hYkvd6zvJZHB5Q,Nonsense,Load of old codswallop; bunkum; crap; talking rubbish.,,That's a load of bunkum. You're talking rubbish,In casual conversation,
A0453,R_6KyVoaZ7hMd3Xxf,Nonsense,Garbage,,,,
A0454,R_21ps7EXxpdi2DNy,Nonsense,bullshit,,Don't give me that bullshit!,From childhood.,
A0455,R_01CikfOZ9nIzLWx,Nonsense,crap,,That's a load of crap,Many times over decades,
A0458,R_20UljJ4LEpic45A,Nonsense,Bullshit,,You're talking bullshit.,When people disagree,
A0460,R_3gNMI4xXBnWAGP7,Nonsense,Talking out your arse,,,I assume it's Australian,
A0461,R_RwYw0Yaf0qAXJtf,Nonsense,bullshit,,That's real bullshit.,Often in a professional sense!,
A0464,R_UlNFwVbfly2EifD,Nonsense,Bullshit,,,,May not be Australian in origin
A0465,R_1LtknZfJ3Hl47ia,Nonsense,bullshit,,that's bullshit,everywhere,
A0466,R_3PuJdYINfNPHUnn,Nonsense,Gobbledygook.,,He's talking a lot a gobbledygoook.,,
A0467,R_tXoysZsywVGfQDD,Nonsense,bullshit,,,,
A0468,R_URwDwueWHqOUfhT,Nonsense,bulldust. Flemington confetti. All hat and no cattle.,,yes,life,no
A0469,R_PTfgXDQpZZPx30t,Nonsense,Crap,,What a load of crap,,
A0470,R_2zAYzXz7IFM28aF,Nonsense,bullshit,,,,
A0471,R_3e5mdxb7U7CES8H,Nonsense,bull shit,,,,
A0473,R_1K9Y8pqqEuFIeGN,Nonsense,Boloney,,Don't give me that boloney,,
A0476,R_T7rYICiLGPshyFz,Nonsense,malarkey,,That's a load of malarkey!,General conversation but not recently,
A0477,R_1dvruT2BYV3PE02,Nonsense,Bull,,"""That's Bull!"". Bullshit, Bullshit artist,",In general conversation,very egalitarian
A0478,R_2zYKsMRSVEwAb7E,Nonsense,Fiddle sticks,,That's a load of Fiddle Sticks,,
