participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A1600,R_21ocoynvxLCOG1l,Very Bad,Shocker,,What a shocker,Everywhere,
A1601,R_3LhuxRmqlerXJ22,Very Bad,Bloody terrible,,That was a bloody terrible job,Construction industry,
A1602,R_tXus6w1hFQQziUN,Very Bad,Shit house,,That's shithouse,Regularly,No
A1603,R_1YbrJFWsXentUxb,Very Bad,Crook,,"Well, obviously there's the classic ""crook as Rookwood"", then myriad tropes from that.","Same as previous page, ie, less common nowadays, much more so in my younger years.",
A1604,R_1ODEI4xaMOE2K0K,Very Bad,shithouse,,that is shithouse legislation,general use,"well, its also the word for an outside toilet"
A1606,R_1mCREnK6nuCjOV2,Very Bad,shithouse  and carqued,,That's a shithouse idea. My ute carqued it.,Between groups of men.,
A1607,R_2YPvofOihY9SviG,Very Bad,Barry Crocker,,That meal was a Barry Crocker.,Friends,It means 'Shocker'
A1608,R_1OvDYT35Lc5xkB2,Very Bad,"""shocker""",,"""That's a shocker!""",When I had a shot for goal. - I played footbal for Mordialloc 2nds,It is fairly wide spread.
A1610,R_12GAecBT6dKm4cH,Very Bad,shithouse,,That band's last gig was shithouse.,Growing up friends at school used it a lot. Some still do.,I might say it but would be careful who I said it in front of.
A1612,R_qCaPWpsfg0R9DlT,Very Bad,that's a shocker,,she had a shocker week at work,in conversation with family and friends,
A1614,R_pMnjPtsSSUElV4Z,Very Bad,Fucked up,,That story was fucked up,"Casual group gossip, mostly amongst teens and twenties",
A1615,R_1gNpgZINSDHkzdQ,Very Bad,shit,,What a shit act.,From the 1960s to present. In all sort of circumstances.,"Still seems to be used, but I don't know about younger generations."
A1618,R_3flPTUaW9FvCggT,Very Bad,Shocker,,She played a shocker of a game.,Most commonly during games or sports.,
A1619,R_2tFhZY2WCEzbm6I,Very Bad,shithouse,,that's fuckin shithouse,"in regards to a situation- normally happening at the same time (or recent, not a past situation)","when used in regards to a situation in opposition to another person ""a dog-act"" is in the same vein"
A1622,R_cZaPBrcLf5nX5pn,Very Bad,Shit house,,Being in lockdown is shit house,Conversation with friends,I use it a lot
A1624,R_1OBmzHlPuSHFoel,Very Bad,Crook,,That's crook,,
A1625,R_9RY5eek8tH9xtLP,Very Bad,Shocker,,The game was a shocker,Forever - by everyone,
A1626,R_1PT554lFT7v3Lig,Very Bad,Spewin',,"The mouse got away? Aww, spewin' mate...",,
A1628,R_12GtmoidIT2PaU4,Very Bad,Shithouse,,The state of politics is shithouse,As long as I can remember & I'm 70 ~ crap 💩 is another great 👍 word,There are bound to be others but I can't remember them off the top of my head
A1629,R_AaL4i8pxxyvCe89,Very Bad,sux,,It sux you lost your job.,Anywhere where there is deep disappointment,
A1630,R_shWylULURS9z9Xb,Very Bad,Crook,,Gee that's crook!,When someone's had really bad luck or something unfair occurred,When the person had an injustice or treated poorly - of course also means you feel sick
A1631,R_3pmeH7pNTqoZB4I,Very Bad,Rubbish,,That's rubbish,"School, work, shops",
A1632,R_2B3XGplhHaSW512,Very Bad,Rooted,,"Yeah, nah, I think the thing is rooted now",1970s Newcastle,
A1633,R_dgLnAT0ZQTf0LcZ,Very Bad,Lousy,,That was a lousy job.,At work.,Still used.
A1634,R_5sPMnz34a0WqVC9,Very Bad,shithouse,,thats fucken shithouse,after getting bad news,
A1636,R_2pJgWmbfit4YVTo,Very Bad,Cluster-fuck,,The whole day was a completely cluster-fuck,"Locally, within the past year",Used when a series of things have gone wrong or to express anger or irritation at organisationall incompetence
