participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A1023,R_cNEwpI7Uo2mWp7b,Very Bad,Shithouse,,"You crashed your car? Oh, that's shithouse mate.",My uncles in north-eastern Victoria,
A1024,R_3IYSBStzfag6kYA,Very Bad,stinks like a dead dingo's donger,,The car park funding stinks like a dead dingo's donger,"My father used it, usually to discuss politicians",
A1025,R_b16UcA4G680KOQ1,Very Bad,crapola,,The lockdown is crapola,,
A1026,R_3LiE5dZkDkkQYWF,Very Bad,Crook,,I don't trust that bloke…. He strikes me as being a bit crook,Forbes,
A1028,R_6DJGHwgNz3pQtOh,Very Bad,Shocker,,The tv show was a shocker,Family,No
A1030,R_28MwXvA1wrKQnVo,Very Bad,shit,,the food and service at that restaurant was shit,occasionally in conversation in my local area,no
A1031,R_1juICoecL7FI9J4,Very Bad,rank,,That lettuce is rank,Cannot remember,
A1032,R_2D6OdalMLdcR6on,Very Bad,Gross,,That feed was gross,"Again, all over Aust, since I can remember no",
A1033,R_3JjUUTHKzJCrvoO,Very Bad,"Lousy. Can I enter rat-shit, as well....?",,Self-explanatory,Everywheere - but I'm no tsure it's purely Australian,
A1035,R_1d6a381S1gSZa8B,Very Bad,Shithouse,,"That's shithouse, mate.",Used when someone lost their job.,
A1037,R_3fODdLE0OKaYXQX,Very Bad,larry do,,My knees are giving me larry do,Favourite of my (sadly late) father in law,"I believe it derives from a jockey, Larry Dooley, who was hard on the whip but I'd like confirmation"
A1038,R_2U5A6kNZQWde2bU,Very Bad,on the blink,,the tellys not working - its on the blink,general conversation,
A1040,R_Z7PxGurMQmvox69,Very Bad,rubbish,,That's a rubbish ute you've got there mate...,In the bush,An alternative word of the same meaning is 'crap'
A1041,R_10O6X4g7mSYvmLi,Very Bad,Kangaroo Edward,,That is kangaroo Edward. ie stuffed. (Roo - Ted ….rooted - which is another word for stuffed or very bad),Amongst blokes chatting. Definitely an older demographic.,Not so obvious this one.
A1042,R_7VDi8V9SUfQUXwB,Very Bad,Total balls up,,COVID immunisation roll out is a total balls up,Social Media over the past few months,Indicates chaos; lack of planning; also can be called a shemozzle
A1043,R_tYxzLOo9jBqUpiN,Very Bad,shithouse,,that sausage roll was shithouse,"local conversation, on tv",
A1044,R_3lsRP5xEwIVTEaC,Very Bad,Shithouse,,What a shithouse tackle that was,All over the place.,Close relation of shitshow
A1045,R_1GHecipIp6PzHzu,Very Bad,Crook,,the state of the environment is pretty crook,,
A1047,R_Yc4XeiOPHmSC2jv,Very Bad,Grose,,That chicko roll was gross.,Throughout my life.,
