participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0372,R_3jUJE7gPf3kqbGQ,Attractive Person,Spunk,,That Dr Norman Swan is a bit of a spunk,Was used a lot when I was at school in the 1970s. Don't hear it much now.,
A0373,R_2EcJdTzVjzl3Wz7,Attractive Person,stunner,,what a stunner!,Learnt as a child,
A0375,R_3PLcekkQwaQW45A,Attractive Person,Spunk,,They are a spunk. Very spunky. What a spunk,Growing up,
A0377,R_2UfKMEd8R86tx4s,Attractive Person,A good sort,,Not really my cup of tea to use expressions like this in conversation but my wife is bloody good sort,Growing up in the company of older men,"Haha, I forgot about spunk and spunkrat! Those were good ones from my childhood!"
A0379,R_2saw8fDhZaEqaIC,Attractive Person,hot,,She is hot,general conversation,no
A0380,R_3LZpoXt3Bi5EYKE,Attractive Person,Spunk,,,"Older now, not so much used",
A0382,R_Aar1gSoIGnr9fhf,Attractive Person,Stunner,,Bluey and his missus are both stunners,Friends,refers to orthodox but unspecific attractiveness
A0385,R_qw3vmFAwiGmWhm9,Attractive Person,"Looker, spunk",,,,
A0386,R_3iIjYpNaBb4y6xO,Attractive Person,good sort,,I always thought my Mum would have been a good sort in her day...,My father,It's unfortunate people would be offended by this now however I think most often used as a term of endearment rather than sinister.
A0389,R_1FQZYrTrsgL62Cm,Attractive Person,spunkrat,,"Eh, Davo checkout that chic, she's a bit of a spunkrat. Aw, I reckon' Dazza from Sherbet is a real spunkrat.","It was often used in the 1970s, Teenies used to describe their pop idols as such.",Also used as spunkie or spunky. See that spunkie chic over by the bar... well next to her.
A0390,R_2OGskOFNVX5Vs3c,Attractive Person,beaut,,"she's a real buet, mate",in general conversation,
A0394,R_R3jYoKooRycal2N,Attractive Person,Hornbag,,She is a hornbag,Colleague,
A0397,R_1eKrlUS1BgtUIDQ,Attractive Person,Knockout,,The new guy on neighbour's is a real knockout,,May not be Australian but feels local when used
A0398,R_2t4Nwbv4U5EdYvQ,Attractive Person,Looker,,He/she's a looker,Since I was young,
A0400,R_25SJjKYakAtCJ8F,Attractive Person,Good looking rooster,,They're a good looking rooster.,,
A0401,R_262u0RqwdZQhB09,Attractive Person,Bonzer.,,He's a bonzer bloke.,Can't recall.,"No,"
A0403,R_ZdFaYEZjqFMW7Gp,Attractive Person,GLAMOUR,,He/she walked into the room and I just thought What a glamour.,In the workplace and possibly 12 months ago,
A0404,R_PTcIzVApVg3MPC1,Attractive Person,Spunk,,Kylie is a real spunk,Used as a compliment,Don't hear it as much now….big in the 80's
A0405,R_1P8iEgwaCwB8i6R,Attractive Person,smoke show,,that chick is a smoke show,amongst the guys,
A0406,R_3fDcUBxKCrb6gtE,Attractive Person,Not real foul,,This one is mine; she is not real foul.,Mainly workplace,Most easily confused expression I know
A0408,R_3iKGxvWskwqSMiP,Attractive Person,Stunner,,She's a real stunner,Recently in conversation between men,
A0411,R_1mxd4LyLrdZOM7v,Attractive Person,"Honey, peach, hunk, he-man",,That shiela is a real honey/peach and her boyfriend is a bit of a hunk/he-man.,Usually by me in front of the boob tube.,Would have a wider appeal than some others I've mentioned.
A0412,R_2oAJ2H6JTsoZuYp,Attractive Person,Sheila,,She's a good looking sheila!,Growing up.,Sheila seems to have been replaced by Good looking bird!!
A0414,R_ymXuvOkULhslavf,Attractive Person,Hot,,Harry Styles is sooo hot!,Everyday conversation with friends,
A0416,R_2flknJk7bN3javn,Attractive Person,Spunk,,He's a real spunk,Mostly back in high school in the early 1970s,I think it has pretty much died out
A0417,R_AcdHzaC8Yl3EE6d,Attractive Person,scrub up all right,,"Jeez, she scrubs up a bit of alright.","'scrubs up"" is fairly common, but the ""bit of alright"" probably comes from Brit comedy",
A0418,R_3DwqGDJvyolxfQ2,Attractive Person,spunk,,that guy is a spunk,more common when i was a teenager,
A0419,R_24xfvSebkiqUAHB,Attractive Person,She's a knockout!!,,That Sheila's a total knockout.,At the beach,
A0420,R_esNJZxY6rMtL9Kh,Attractive Person,beauty,,what a beauty,throughout my life,
A0423,R_1rpELc9gZmMC268,Attractive Person,Stud,,"He's hot, what a stud",Probably when i was young,
A0425,R_Y957Jvrlmra8ywF,Attractive Person,Hot stuff,,He's a bit of hot stuff,,
A0428,R_3nN0XXAmu6EnifM,Attractive Person,Spunk,,He's a spunk,Kath & Kim TV show,
A0432,R_0cg8dl31izw0eYh,Attractive Person,Spunk,,(On seeing an attractive person - more often male perhaps) What a spunk!,,
A0434,R_8p18sKDYY6fLoKR,Attractive Person,Stud,,That guys a stud!,Typically at beach or on tv ir in piccies when guy has shirt off & his great physique is obvious.,
A0435,R_3JKMstEn0yLifqU,Attractive Person,Hornbag,,That new girl is a bit of a hornbag,,
A0436,R_1dji2guDG3lrU7G,Attractive Person,Honey,,He is a bit of a honey.,At parties,
A0441,R_3EKdeR04ys9JSGA,Attractive Person,looker,,she a real looker,description of an attractive woman,no
A0442,R_efyyipAhQ2BgssF,Attractive Person,Heartthrob,,He's her heartthrob,Common,Might not be Australian
A0443,R_D5J3sx9OlOTJtF7,Attractive Person,looker,,she was a real good looker,younger days,
A0446,R_1DSbtU5g8BFIIVN,Attractive Person,She/he's a corker!,,Referring to someone you see,Family,
A0448,R_29gZp6WyKH4wXdo,Attractive Person,a looker,,She's a good looker,,
A0451,R_1hYkvd6zvJZHB5Q,Attractive Person,She's a looker; he can put his slippers under my bed anytime; eye-candy,,Wow…she's a looker!,Not for quite some time,Not really in use anymore
A0458,R_20UljJ4LEpic45A,Attractive Person,Good sort,,His missus is a good sort,Between men noticing another's wife,It's offensive to me. Objectifying
A0463,R_p6rjaGv4CL7mIi5,Attractive Person,Hornbag,,Get a squiz of that hornbag: Wouldn't kick her out of bed for eatin' biscuits.,Definitely Melbourne in the 60s and 70s.,Didn't seem to travel to Sydney.
A0464,R_UlNFwVbfly2EifD,Attractive Person,Real beaut,,,,
A0465,R_1LtknZfJ3Hl47ia,Attractive Person,beaut,,he's beaut,in conversations with friends,
A0466,R_3PuJdYINfNPHUnn,Attractive Person,Looker,,She's a looker.,,
A0468,R_URwDwueWHqOUfhT,Attractive Person,"Shower, Glamour",,She/he's a bit of a glamour,life,no
A0469,R_PTfgXDQpZZPx30t,Attractive Person,Stunna,,You're girlfriend's a stunna mate,,
A0470,R_2zAYzXz7IFM28aF,Attractive Person,spunk,,She's a real spunk.,,
A0473,R_1K9Y8pqqEuFIeGN,Attractive Person,Shiela,,"Hey, get a look at that shiela","My dad and his mates, male cousins in country victoria",
A0475,R_2bOUQeG3lKQeCiF,Attractive Person,She's a ringa ding ding!,,As above,,
A0477,R_1dvruT2BYV3PE02,Attractive Person,good-looker,,"""He's married to a real good-looker"".",in conversation with friends,self explanatory
A0478,R_2zYKsMRSVEwAb7E,Attractive Person,She's a bit of alright,,,I use it,
A0479,R_2fdj3NnsouueLwj,Attractive Person,A bit of alright,,"That danno at the gym, he's a bit of alright",Talking with friends,
A0481,R_WkYapgYJpAfj7nH,Attractive Person,"a grouse sheila, spunk for a male",,Nothing specific. The second is more current.,Nothing specific,"Sheila is outdated, I think, but everyone knows it. Such words survive in our literature, and such as C J Dennis and Louis Stone are useful sources. nis and"
A0482,R_8bSojXwhmmvNYbL,Attractive Person,Hot babe,,What's with the hot babe in the red dress.,1980s Sydney,
A0483,R_3hb9wbNf9PpYMjE,Attractive Person,Bewdie,,He or she is a real bewdie,Everyday conversation,No
A0484,R_Q3uVMmHkYQBrAZz,Attractive Person,"Looker, hunk",,She's a looker. He's a hunk,Same sex perving,Hunk probably is t Australian
A0485,R_3PaHWoy5PLCBvCg,Attractive Person,Spunk,,That guy in the Speedos is a bit of a spunk.,"Heaps! Throughout my entire life, everywhere.","Can be applied to men or women, though men can also be referred to as a 'hunk of spunk' and therefore as a hunk"
A0487,R_BR0QcbPpN5te93j,Attractive Person,stud-muffin,,Mr July in the Firies Calendar is such a stud-muffin!,It isn't used often but I hear it around the place,
A0489,R_1Cr1O0Qvq3KxIqK,Attractive Person,Looker,,A bit of a looker,Discussion on someones visual appeal,
A0492,R_20URf7IAnPU1yGT,Attractive Person,Legend,,He's a legend.,,
A0494,R_3x8kscqVcrStdUl,Attractive Person,Good sort,,She's a real good sort,Tasmania,
A0495,R_2S7jhSJ0EVkTFOE,Attractive Person,a looker,,"Wow, have a gander at that yummo non binary homo sapiens, they are a looker!",Common useage in decades past but only occasionally now.,
A0496,R_2cdxjIAuZuPEkWF,Attractive Person,a bit of alright,,She's a bit a of alright,"my partner, friends",
A0500,R_2OIowgphjyQup6U,Attractive Person,Looker,,,,
A0501,R_2SIuF6i7HwYqbYp,Attractive Person,Snack,,"See that guy down at the bar, he was a literal snack",,
A0502,R_4H1yHx9zKGK6I9z,Attractive Person,Glamour,,She's too good for you Davo!......She's a glamour.,Amongst friends during the 1990's,no
A0503,R_rqLzxjK2vwL2t1v,Attractive Person,Looker,,She's a looker,Commonly used amongst men to describe a good looking woman,
A0504,R_1HoSOmzAioPWfRs,Attractive Person,Spunk,,"They are so hot, what a spunk!",Usually as a passing comment while people watching,
A0506,R_2VqhNOb3hoHx2kV,Attractive Person,Looker,,She's a real looker,Everyday conversation,
A0508,R_Tq1IFWUTFgAWunT,Attractive Person,Spunk,,She is a spunk! That's one spunky lady.,Started in the 70's and continues in use today,Similar word is horny
A0509,R_2AKEuhrKUMreb5G,Attractive Person,dazzler,,Isn't she a dazzler!,Can't remember,no
A0510,R_25XZq7ONQynFiUN,Attractive Person,grouse sheila,,,,
A0513,R_12ElIMw6sTpodVj,Attractive Person,hunk,,He is a real hunk in those new jeans,,"She's a bit of alright, She's hot,"
